City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Sterling,US,39.0062,-77.4286,31.6,71,20,4.61,few clouds
275,Paamiut,GL,61.994,-49.6678,27.79,91,100,20.98,snow
276,Esperance,AU,-33.8667,121.9,64.24,83,49,8.34,scattered clouds
277,Casma,CL,-41.0082,-73.1244,60.08,59,62,1.59,broken clouds
278,Qaqortoq,GL,60.7167,-46.0333,32.5,74,100,4.14,overcast clouds
279,Polunochnoye,RU,60.8697,60.4153,5.81,92,28,4.43,scattered clouds
280,Bati,ET,11.1833,40.0167,71.87,40,52,10.31,broken clouds
281,Tarakan,ID,3.3,117.6333,80.1,78,40,1.14,scattered clouds
282,Kahului,US,20.8947,-156.47,72.84,77,0,11.5,clear sky
283,Skjervoy,NO,70.0311,20.9714,32.18,67,100,39.08,light snow
284,Vestmanna,FO,62.1564,-7.1664,38.32,81,75,8.05,broken clouds
285,Pierre,US,44.3683,-100.351,31.12,82,100,5.99,overcast clouds
286,La Tuque,CA,47.4334,-72.7824,-30.75,68,94,0.0,overcast clouds
287,Tamworth,GB,52.634,-1.6959,40.68,85,64,3.0,broken clouds
288,Vicencia,BR,-7.6569,-35.3267,84.81,38,30,10.36,scattered clouds
289,Kupang,ID,-10.1667,123.5833,79.38,94,20,3.44,few clouds
290,Mnogovershinnyy,RU,53.9353,139.9242,-8.57,95,66,4.16,broken clouds
291,Klaksvik,FO,62.2266,-6.589,40.12,63,100,20.54,overcast clouds
292,Qinhuangdao,CN,39.9317,119.5883,21.88,74,17,3.58,few clouds
293,Trairi,BR,-3.2778,-39.2689,87.17,54,100,9.46,overcast clouds
294,Coquimbo,CL,-29.9533,-71.3436,62.33,82,40,3.44,scattered clouds
295,Popondetta,PG,-8.7537,148.2534,74.79,97,72,3.18,broken clouds
296,Hanover,DE,52.3705,9.7332,44.02,89,75,5.75,broken clouds
297,Hay River,CA,60.8156,-115.7999,-5.82,77,100,3.44,light snow
298,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,0.19,66,20,11.18,few clouds
299,Kaniama,CD,-7.5667,24.1833,78.31,71,48,0.74,light rain
300,Rypefjord,NO,70.6333,23.6667,31.75,80,75,27.63,light snow
301,Cortez,US,37.3489,-108.5859,31.42,93,0,9.22,clear sky
302,Namibe,AO,-15.1961,12.1522,80.74,73,25,14.76,scattered clouds
303,Hami,CN,42.8,93.45,26.02,49,100,0.89,overcast clouds
304,Mataram,ID,-8.5833,116.1167,79.61,84,40,5.82,scattered clouds
305,Ponta Do Sol,PT,32.6667,-17.1,68.13,61,92,5.14,overcast clouds
306,Matara,LK,5.9485,80.5353,75.85,79,10,0.31,clear sky
307,Leibnitz,AT,46.7816,15.5384,34.11,76,100,1.99,overcast clouds
308,Marsa Matruh,EG,31.3525,27.2453,57.4,44,40,9.22,scattered clouds
309,Shenjiamen,CN,29.9576,122.298,46.33,82,100,13.35,overcast clouds
310,Hurghada,EG,27.2574,33.8129,63.32,38,13,17.9,few clouds
311,Ascension,US,30.2169,-90.9001,35.6,71,100,2.26,overcast clouds
312,Marystown,CA,47.1666,-55.1483,36.86,100,100,5.99,overcast clouds
313,Agirish,RU,61.9247,63.0231,6.66,99,95,4.72,overcast clouds
314,Weyburn,CA,49.6668,-103.8511,-3.78,77,19,6.91,few clouds
315,Sabha,LY,27.0377,14.4283,59.59,28,8,4.7,clear sky
316,Port Macquarie,AU,-31.4333,152.9167,70.9,73,100,2.77,overcast clouds
317,Pisco,PE,-13.7,-76.2167,71.65,78,11,1.14,mist
318,Metsavan,AM,41.2016,44.2288,18.84,67,52,6.62,broken clouds
319,Nome,US,64.5011,-165.4064,24.87,86,100,5.75,light snow
320,Honningsvag,NO,70.9821,25.9704,26.35,93,100,37.98,overcast clouds
321,Zhigalovo,RU,54.8097,105.1578,-7.26,100,100,1.81,overcast clouds
322,Semey,KZ,50.4111,80.2275,-3.78,84,0,4.47,clear sky
323,Kpandae,GH,8.4689,-0.0113,96.21,9,25,3.87,scattered clouds
324,Kota Kinabalu,MY,5.9749,116.0724,82.38,83,20,4.61,few clouds
325,Lismore,AU,-28.8135,153.2773,71.69,90,100,6.91,overcast clouds
326,Chicaman,GT,15.4,-90.7667,56.52,88,9,0.76,clear sky
