City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
425,Mogadishu,SO,84.07,dust,2.0371,45.3438,Hotel Juba
426,Taoudenni,ML,80.85,few clouds,22.6783,-3.9836,
428,Panalingaan,PH,78.67,broken clouds,8.7842,117.4231,I Love Panalingaan View Deck
432,Santa Maria,BR,85.3,clear sky,-29.6842,-53.8069,Hotel Morotin
434,Daru,PG,80.6,overcast clouds,-9.0763,143.2092,Daru Lodge
440,Manokwari,ID,79.92,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
441,Tefe,BR,84.31,few clouds,-3.3542,-64.7114,Aracati Hotel
442,Paranavai,BR,89.01,broken clouds,-23.0731,-52.4653,Hotel Pilonetto
452,Kendari,ID,79.2,overcast clouds,-3.945,122.4989,Hotel Wixel
455,Kollo,NE,88.23,clear sky,13.3043,2.339,
458,Bubaque,GW,77.79,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
460,Sinnamary,GF,77.4,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
466,Camopi,GF,78.66,broken clouds,3.1655,-52.3158,La pousada
467,Conceicao Do Araguaia,BR,85.12,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
471,Morondava,MG,87.21,overcast clouds,-20.2833,44.2833,La Case Bambou
476,Itarema,BR,87.71,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
479,Mahanoro,MG,78.96,moderate rain,-19.9,48.8,BUNGALOW MAHAMANINA
482,Sola,VU,83.1,overcast clouds,-13.8833,167.55,Leumerus Bungalows
485,Biak,ID,77.88,broken clouds,-0.9131,122.8766,Penginapan Kim
489,Letlhakane,BW,81.63,overcast clouds,-21.4167,25.5833,Motswedi Hotel
490,Alta Floresta,BR,84.02,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
495,Vaitape,PF,81.1,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
496,Goundam,ML,84.13,clear sky,16.4145,-3.6708,
499,Chimoio,MZ,78.66,broken clouds,-19.1164,33.4833,Predio Livraria Ahmed
502,Ta Khmau,KH,84.25,few clouds,11.4833,104.95,Takhmao Good Health Hotel
504,Aquiraz,BR,89.22,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
506,Prachin Buri,TH,78.21,light rain,14.0833,101.6667,Hillside Country Home Golf & Resort
508,Ilhabela,BR,82.0,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
521,Douentza,ML,85.53,clear sky,14.9951,-2.9517,Ogomono Doumbo
524,Kolokani,ML,88.32,few clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
526,Amudat,UG,84.63,overcast clouds,1.95,34.95,Silent Night Hotel
528,Leticia,CO,78.85,broken clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
529,Dutlwe,BW,79.56,scattered clouds,-23.9833,23.9,
530,Poya,NC,76.3,overcast clouds,-21.35,165.15,
531,Sao Sebastiao,BR,83.12,scattered clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
532,San Felipe,VE,77.23,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
533,Mecca,SA,77.43,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
536,Say,NE,88.36,clear sky,13.1007,2.3689,
538,Tabou,CI,85.17,clear sky,4.423,-7.3528,hotêl doufoulougou
539,Pedernales,DO,78.55,clear sky,18.0384,-71.744,Hotel Costa Marina
544,Dolores,AR,82.45,scattered clouds,-36.3132,-57.6792,Apart Hotel - Arianos
546,Auki,SB,79.61,broken clouds,-8.7676,160.7034,Auki Motel
548,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
552,Magomeni,TZ,87.73,scattered clouds,-6.8,39.25,Conway Hotel
556,Kaoma,ZM,75.67,overcast clouds,-14.7833,24.8,KAOMA AIRPORT
557,Charters Towers,AU,76.6,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
558,Bintulu,MY,75.61,moderate rain,3.1667,113.0333,900 Boutique INN
566,Richards Bay,ZA,85.19,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
567,Necochea,AR,83.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
568,Kutum,SD,79.29,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
569,Meulaboh,ID,77.45,broken clouds,4.1363,96.1285,Kost Pria
571,Jizan,SA,85.14,clear sky,17.3333,42.6667,شهدان. ابوالحجر
572,Mabaruma,GY,83.37,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
573,Lufilufi,WS,76.78,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
574,Bonthe,SL,88.75,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
576,Piranhas,BR,87.24,few clouds,-16.4269,-51.8222,Planalto Hotel
577,Kapchorwa,UG,76.24,overcast clouds,1.3965,34.4509,Amis Cheshari's Residence
578,Udon Thani,TH,80.76,few clouds,17.3333,102.8333,P.T.K. Apartment
587,Araouane,ML,80.1,scattered clouds,18.9048,-3.5265,
588,Gewane,ET,87.57,overcast clouds,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
590,Vila Velha,BR,86.45,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
591,Kourou,GF,77.05,broken clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
592,Opuwo,,88.93,broken clouds,-18.0607,13.84,ABBA Guesthouse
595,Hervey Bay,AU,77.11,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
600,Mitu,CO,78.21,overcast clouds,1.1983,-70.1733,
604,Kalmunai,LK,75.29,overcast clouds,7.4167,81.8167,VS Villa
607,Isangel,VU,80.35,clear sky,-19.55,169.2667,Tanna Lodge
608,Denpasar,ID,83.86,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
613,Nhulunbuy,AU,79.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
615,Port Maria,JM,80.96,clear sky,18.3685,-76.8895,Galina Breeze Hotel
617,Vangaindrano,MG,75.16,light rain,-23.35,47.6,Hotel Fanilo
626,Luganville,VU,79.97,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
636,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
637,Buchanan,LR,89.56,clear sky,5.8808,-10.0467,Kamaneahn Hotel Inc
638,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
643,Puerto Ayacucho,VE,82.18,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
644,San Policarpo,PH,79.07,overcast clouds,12.1791,125.5072,Agapita M. Nicart
651,Maceio,BR,89.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
654,Santa Rosa,PH,82.38,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
658,Tessalit,ML,77.36,broken clouds,20.1986,1.0114,
659,Karratha,AU,85.03,clear sky,-20.7377,116.8463,ibis Styles Karratha
662,Road Town,VG,78.84,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
664,Kudat,MY,80.53,few clouds,6.8837,116.8477,Dream Garden Hotel
673,Maxixe,MZ,78.62,drizzle,-23.8597,35.3472,Oceano
674,Biltine,TD,89.22,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
675,Omboue,GA,84.36,light rain,-1.5746,9.2618,Hotel Olako
678,Luena,AO,75.13,light rain,-11.7833,19.9167,Hotel Kandamba
684,Mineiros,BR,84.16,clear sky,-17.5694,-52.5511,Pilões Palace Hotel
685,Obala,CM,89.47,clear sky,4.1667,11.5333,The yafe
688,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
689,Maragogi,BR,84.74,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
